Date,Close,High,Low,Open,Volume,price1,pricediff,return,direction,ma10,ma50,stock,profit,wealth,logprice1,logclose,logreturn
2015-01-01,222.41,222.41,222.41,222.41,0,219.31,-3.0999999999999943,-0.013938222202239083,-1,,,0,0.0,0.0,5.390486254019414,5.404522525394353,-0.014036271374939346
2015-01-02,219.31,223.25,213.26,222.63,4764443,210.09,-9.219999999999999,-0.042040946605261954,-1,,,0,0.0,0.0,5.347536010335536,5.390486254019414,-0.04295024368387779
2015-01-05,210.09,216.5,207.1626,214.5,5368477,211.28,1.1899999999999977,0.005664239135608538,1,,,0,0.0,0.0,5.353184267988877,5.347536010335536,0.005648257653341204
2015-01-06,211.28,214.2,204.21,210.06,6261936,210.95,-0.3300000000000125,-0.0015619083680424673,-1,,,0,0.0,0.0,5.351621138570348,5.353184267988877,-0.0015631294185292077
2015-01-07,210.95,214.78,209.78,213.4,2968390,210.615,-0.33499999999997954,-0.0015880540412419035,-1,,,0,0.0,0.0,5.350031822234715,5.351621138570348,-0.001589316335632418
2015-01-08,210.615,213.7999,210.01,212.81,3442509,206.66,-3.9550000000000125,-0.018778339624433267,-1,,,0,0.0,0.0,5.331074930786209,5.350031822234715,-0.01895689144850632
2015-01-09,206.66,209.98,204.96,208.8,4668295,202.21,-4.449999999999989,-0.021532952675892714,-1,,,0,0.0,0.0,5.309306761347639,5.331074930786209,-0.021768169438570517
2015-01-12,202.21,204.47,199.25,203.05,5950280,204.25,2.039999999999992,0.010088521833737164,1,,,0,0.0,0.0,5.319344733740112,5.309306761347639,0.010037972392473726
2015-01-13,204.25,207.61,200.911,203.32,4477320,192.69,-11.560000000000002,-0.056597307221542235,-1,,,0,0.0,0.0,5.261082679937811,5.319344733740112,-0.05826205380230132
2015-01-14,192.69,195.2,185.0,185.83,11551855,191.87,-0.8199999999999932,-0.0042555399865067895,-1,209.0465,,0,0.0,0.0,5.256818059370008,5.261082679937811,-0.004264620567803412
2015-01-15,191.87,195.7499,190.0,194.49,5216524,193.07,1.1999999999999886,0.006254234638036111,1,205.99249999999998,,0,0.0,0.0,5.263052817447726,5.256818059370008,0.006234758077718006
2015-01-16,193.07,194.49,189.65,190.68,3603158,193.07,0.0,0.0,-1,203.36849999999998,,0,0.0,0.0,5.263052817447726,5.263052817447726,0.0
2015-01-19,193.07,193.07,193.07,193.07,0,191.93,-1.1399999999999864,-0.005904594188636175,-1,201.66649999999998,,0,0.0,0.0,5.257130722217787,5.263052817447726,-0.005922095229938584
2015-01-20,191.93,194.1199,187.04,193.87,4503182,196.57,4.639999999999986,0.024175480643984715,1,199.7315,,0,0.0,0.0,5.281018601969707,5.257130722217787,0.023887879751920416
2015-01-21,196.57,198.68,189.51,189.55,4153043,201.62,5.050000000000011,0.025690593681640186,1,198.2935,,0,0.0,0.0,5.3063847376257955,5.281018601969707,0.02536613565608814
2015-01-22,201.62,203.24,195.2,197.0,4116905,201.29,-0.3300000000000125,-0.0016367423866680514,-1,197.394,,0,0.0,0.0,5.3047466543129405,5.3063847376257955,-0.0016380833128550876
