Date,Open,High,Low,Close,Adj Close,Volume,price1,pricediff,return,direction,ma10,ma50,stock,profit,wealth,logprice1,logclose,logreturn
2006-10-02,10.728572,10.838572,10.614285,10.694285,7.239566,178159800,10.582857,-0.11142800000000008,-0.010419396902177198,-1,,,0,0.0,0.0,2.3592354277836907,2.3697094866296236,-0.010474058845932888
2006-10-03,10.635715,10.707143,10.455714,10.582857,7.164135000000001,197677200,10.768572,0.18571500000000007,0.017548663843799463,1,,,0,0.0,0.0,2.376631891848148,2.3592354277836907,0.017396464064457273
2006-10-04,10.585714,10.78,10.451428,10.768572,7.289855,207270700,10.69,-0.0785720000000012,-0.007296417760869425,-1,,,0,0.0,0.0,2.3693087250369538,2.376631891848148,-0.0073231668111941595
2006-10-05,10.647142,10.88,10.59,10.69,7.236666,170970800,10.602858,-0.08714200000000005,-0.008151730589335833,-1,,,0,0.0,0.0,2.3611235874178784,2.3693087250369538,-0.008185137619075356
2006-10-06,10.631429,10.72,10.544286,10.602858,7.177672,116739700,10.661428,0.05857000000000134,0.005523982307411959,1,,,0,0.0,0.0,2.3666323684902326,2.3611235874178784,0.005508781072354196
2006-10-09,10.542857,10.725715,10.504286,10.661428,7.217321000000001,109555600,10.544286,-0.11714200000000119,-0.01098745871566184,-1,,,0,0.0,0.0,2.3555841018232466,2.3666323684902326,-0.011048266666985995
2006-10-10,10.648571,10.654285,10.44,10.544286,7.138023,132897100,10.461429,-0.08285699999999885,-0.007858000058040805,-1,,,0,0.0,0.0,2.347695064984481,2.3555841018232466,-0.007889036838765406
2006-10-11,10.488571,10.568571,10.371428,10.461429,7.081933,142963800,10.751429,0.28999999999999915,0.027720878285366093,1,,,0,0.0,0.0,2.3750386759717896,2.347695064984481,0.02734361098730842
2006-10-12,10.515715,10.77,10.514286,10.751429,7.278249000000001,148213800,10.717143,-0.03428599999999982,-0.0031889714381223015,-1,,,0,0.0,0.0,2.371844608928207,2.3750386759717896,-0.0031940670435828267
2006-10-13,10.804286,10.982857,10.677143,10.717143,7.255039999999999,171049200,10.771428,0.05428500000000014,0.005065249199343532,1,10.6474287,,0,0.0,0.0,2.3768970729081977,2.371844608928207,0.005052463979990929
2006-10-16,10.741428,10.84,10.684286,10.771428,7.291789,127173200,10.612857,-0.15857100000000024,-0.014721446404320786,-1,10.655142999999999,,0,0.0,0.0,2.3620661906476395,2.3768970729081977,-0.014830882260558287
